epoch,lr,train_loss,val_loss,train_auc,val_auc
1,0.001,0.4080904499230753,0.35340440996433875,0.9649122807017544,1.0
2,0.001,0.3209026794488704,0.2509014626474612,0.9662363455809335,1.0
3,0.001,0.27482513870615266,0.1981491739264482,0.9675604104601125,1.0
4,0.001,0.24549261372919148,0.1665207464518065,0.968222442899702,1.0
5,0.001,0.22457823395508286,0.1461478918855519,0.9702085402184707,1.0
6,0.001,0.20825612600277246,0.13222379126768688,0.9715326050976498,1.0
7,0.001,0.19441923162614125,0.12092086794395837,0.9728566699768288,1.0
8,0.001,0.18262366362051077,0.11224071249873464,0.9761668321747766,1.0
9,0.001,0.17232208299528362,0.10548308346660237,0.9781529294935452,1.0
10,0.001,0.16301563893239054,0.09947345940330922,0.9801390268123138,1.0
11,0.001,0.15465040962528098,0.09455628835981376,0.9841112214498511,1.0
12,0.001,0.14704133644254663,0.09060593125050155,0.9887454485269779,1.0
13,0.001,0.14004228702582114,0.08679708177680132,0.991393578285336,1.0
14,0.001,0.13363212983087946,0.08365823155468492,0.9920556107249255,1.0
15,0.001,0.12769766085750908,0.08105447510841289,0.992717643164515,1.0
16,0.001,0.12217911106934219,0.0780802576063125,0.9933796756041046,1.0
17,0.001,0.11706086825811991,0.07575001643381185,0.9953657729228732,1.0
18,0.001,0.11230471788163686,0.07342526798242564,0.9953657729228732,1.0
19,0.001,0.10786611205894757,0.07146976578404107,0.9966898378020523,1.0
20,0.001,0.10372942058338297,0.06953168093792621,0.9980139026812314,1.0
21,0.001,0.09986589622201247,0.06780082212653202,0.9980139026812314,1.0
22,0.001,0.09626086684235417,0.06610394703139025,0.998675935120821,1.0
23,0.001,0.09288458721073414,0.0644662000635596,0.9993379675604105,1.0
24,0.001,0.08971980566461152,0.06294341408304806,1.0,1.0
25,0.001,0.08675367106722112,0.061510935819488,1.0,1.0
26,0.001,0.08396841460479344,0.05998484016559478,1.0,1.0
27,0.001,0.08134874812870074,0.05860590421362557,1.0,1.0
28,0.001,0.07888044717274634,0.057409207532794986,1.0,1.0
29,0.001,0.07655614373452489,0.05611000580815302,1.0,1.0
30,0.001,0.07436033475535213,0.0549364632897988,1.0,1.0
31,0.001,0.07228532643815005,0.053800162335582664,1.0,1.0
32,0.001,0.07032323062645318,0.05268877199005854,1.0,1.0
33,0.001,0.0684642414892814,0.051574911494625356,1.0,1.0
34,0.001,0.06670188309337728,0.050534893857410425,1.0,1.0
35,0.001,0.06502812173380952,0.04953195569735191,1.0,1.0
36,0.001,0.0634376510879494,0.04848785684343918,1.0,1.0
37,0.001,0.06192281858277929,0.04764405524121696,1.0,1.0
38,0.001,0.060480878296270316,0.046649630131319564,1.0,1.0
39,0.001,0.059104712742717204,0.04580957612145831,1.0,1.0
40,0.001,0.05779181851183844,0.044937021331657716,1.0,1.0
41,0.001,0.05653604030509976,0.044066772541445455,1.0,1.0
42,0.001,0.05533480803025923,0.043256651012336486,1.0,1.0
43,0.001,0.0541859431775015,0.04239933327677622,1.0,1.0
44,0.001,0.053084155098044976,0.04168530946217213,1.0,1.0
45,0.001,0.05202809414068425,0.040967796432427483,1.0,1.0
46,0.001,0.05101435214114597,0.04027427864144637,1.0,1.0
47,0.001,0.05004135864280764,0.03956364156469138,1.0,1.0
48,0.001,0.04910555106691227,0.038952511375357525,1.0,1.0
49,0.001,0.04820572526887073,0.03834158214326384,1.0,1.0
50,0.001,0.04733902646377267,0.03769256797876115,1.0,1.0
51,0.001,0.04650425534300022,0.03713749951870377,1.0,1.0
52,0.001,0.04569939263678796,0.036589323308999944,1.0,1.0
53,0.001,0.04492389510815834,0.036062377787243076,1.0,1.0
54,0.001,0.044174396145185715,0.03552112008938257,1.0,1.0
55,0.001,0.04345073978989024,0.0349609632635313,1.0,1.0
56,0.001,0.04275132642069434,0.034403057260576665,1.0,1.0
57,0.001,0.042075289164775286,0.03391392600993906,1.0,1.0
58,0.001,0.04142139824633127,0.03345543736234498,1.0,1.0
