epoch,lr,train_loss,val_loss,train_auc,val_auc
1,0.003,0.2687742021491773,0.1861171174839801,0.9675604104601125,1.0
2,0.003,0.2084199993818229,0.13194265618892104,0.9715326050976498,1.0
3,0.003,0.17210479849072202,0.10377590803425198,0.9774908970539556,1.0
4,0.003,0.14686197030136858,0.08702919560570443,0.9860973187686197,1.0
5,0.003,0.12743631655554385,0.07831709684832124,0.9920556107249255,1.0
6,0.003,0.11190195483521068,0.07371178134548514,0.9953657729228732,1.0
7,0.003,0.09936584145296305,0.06749685175455375,0.9980139026812314,1.0
8,0.003,0.0891716141431632,0.06316342234739698,1.0,1.0
9,0.003,0.08083496185495093,0.05997931074577093,1.0,1.0
10,0.003,0.07385338302385906,0.055559450390721396,1.0,1.0
11,0.003,0.06798739223325313,0.052068846320340215,1.0,1.0
12,0.003,0.06300995519442762,0.04957765198575781,1.0,1.0
13,0.003,0.05868262817442554,0.046384045003896854,1.0,1.0
14,0.003,0.054946854606033546,0.04400512554064882,1.0,1.0
15,0.003,0.05170507097054065,0.042247139994213916,1.0,1.0
16,0.003,0.04875853747312397,0.03927713156420899,1.0,1.0
17,0.003,0.04617292697022743,0.03744595298412584,1.0,1.0
18,0.003,0.04385238299300754,0.03546751024515148,1.0,1.0
19,0.003,0.04177070646194804,0.03403434124321798,1.0,1.0
20,0.003,0.03988179940927377,0.032566456434649185,1.0,1.0
21,0.003,0.03816562637407695,0.03129845201303315,1.0,1.0
22,0.003,0.03659704317368406,0.030029297229487044,1.0,1.0
23,0.003,0.03515933124339234,0.02888649552056986,1.0,1.0
24,0.003,0.03383686493917467,0.02784800005870363,1.0,1.0
25,0.003,0.032617255027670426,0.026896498622686792,1.0,1.0
26,0.003,0.03148190408024191,0.025880984658204872,1.0,1.0
27,0.003,0.030429973129055207,0.025011623701721115,1.0,1.0
28,0.003,0.02945373960981691,0.02431225074763389,1.0,1.0
29,0.003,0.028538093268426587,0.023539294203955768,1.0,1.0
30,0.003,0.02768217053126526,0.022872875605655724,1.0,1.0
31,0.003,0.02687894771233722,0.022239496904668397,1.0,1.0
32,0.003,0.026123941370755493,0.021634279317244466,1.0,1.0
33,0.003,0.02541147038217279,0.021028766168535367,1.0,1.0
34,0.003,0.024740355216602068,0.020473078355256028,1.0,1.0
35,0.003,0.024106336473119196,0.019970971776719276,1.0,1.0
36,0.003,0.02350420207460578,0.019435031702982473,1.0,1.0
37,0.003,0.02293691269803256,0.019043568359031343,1.0,1.0
38,0.003,0.02239409701239869,0.018534424352747776,1.0,1.0
39,0.003,0.021880105563605205,0.018136794781524555,1.0,1.0
40,0.003,0.02138969298969665,0.017714902618948113,1.0,1.0
41,0.003,0.020921388441255427,0.01729444287547553,1.0,1.0
42,0.003,0.02047496967183402,0.016921222588887893,1.0,1.0
43,0.003,0.020047939006096534,0.0165130160138713,1.0,1.0
44,0.003,0.019640693384162383,0.01620335932365739,1.0,1.0
45,0.003,0.01925065907551287,0.015887446299486723,1.0,1.0
46,0.003,0.018876549278877774,0.01557985223778066,1.0,1.0
47,0.003,0.018517523277514464,0.015259358433177727,1.0,1.0
48,0.003,0.01817336275827058,0.015001181889983173,1.0,1.0
49,0.003,0.017842471913314787,0.014734099639092517,1.0,1.0
50,0.003,0.017523457252336214,0.014449787368046679,1.0,1.0
51,0.003,0.017217205160003933,0.01422130558768817,1.0,1.0
52,0.003,0.01692202318769222,0.013996056938963794,1.0,1.0
53,0.003,0.01663797183613984,0.013779043428650287,1.0,1.0
54,0.003,0.016362926841278908,0.013549413313888176,1.0,1.0
55,0.003,0.016097046312136966,0.013307218857161424,1.0,1.0
56,0.003,0.015840035854934573,0.013062352483592665,1.0,1.0
57,0.003,0.015592455957120317,0.012862655213566958,1.0,1.0
58,0.003,0.015353202322178829,0.012677497998590604,1.0,1.0
59,0.003,0.01512131286590386,0.01249063267863161,1.0,1.0
60,0.003,0.014896619686092768,0.012300852222022565,1.0,1.0
61,0.003,0.01467847300578915,0.012098683958957454,1.0,1.0
62,0.003,0.014467145854402282,0.011898956276484683,1.0,1.0
63,0.003,0.014262299867636496,0.011704089419426102,1.0,1.0
64,0.003,0.014064025342434972,0.01155433710706473,1.0,1.0
65,0.003,0.01387149667521643,0.011399888809612891,1.0,1.0
66,0.003,0.013684504412395066,0.011256185654362153,1.0,1.0
67,0.003,0.013502684541912892,0.011109913571279802,1.0,1.0
68,0.003,0.013325846842208113,0.010956789469670046,1.0,1.0
69,0.003,0.013153888687536535,0.01081550226888352,1.0,1.0
70,0.003,0.012986448905690316,0.010669066840837816,1.0,1.0
71,0.003,0.012823754622914345,0.010537546039242908,1.0,1.0
72,0.003,0.012665293916288711,0.010406800075800849,1.0,1.0
73,0.003,0.0125108478756751,0.010276082207533233,1.0,1.0
74,0.003,0.012359958171846878,0.010132330255024673,1.0,1.0
75,0.003,0.012213335398875822,0.010012154522514052,1.0,1.0
76,0.003,0.012070420699654832,0.009896158026873589,1.0,1.0
77,0.003,0.01193072822742346,0.009770340111213744,1.0,1.0
78,0.003,0.011794589902429323,0.009659328066990049,1.0,1.0
79,0.003,0.011661809897391864,0.00955197145448386,1.0,1.0
80,0.003,0.011532057730055762,0.009442622925270117,1.0,1.0
81,0.003,0.011405192798521936,0.009328590339981752,1.0,1.0
82,0.003,0.01128150940598912,0.009227403554111875,1.0,1.0
83,0.003,0.011160582163181816,0.009126132916804471,1.0,1.0
84,0.003,0.01104220070297052,0.00901708976074918,1.0,1.0
85,0.003,0.010926570848654069,0.008917647487112587,1.0,1.0
86,0.003,0.010813399874686495,0.008815146903990599,1.0,1.0
87,0.003,0.010702763472740285,0.008716575416153489,1.0,1.0
88,0.003,0.01059459501295217,0.008628735703334422,1.0,1.0
89,0.003,0.010488619823934174,0.008533943900003145,1.0,1.0
90,0.003,0.010384881778606638,0.008440774424384642,1.0,1.0
91,0.003,0.010283394958448742,0.008359241341351019,1.0,1.0
92,0.003,0.010183895147742601,0.008268683122558962,1.0,1.0
93,0.003,0.010086449492747493,0.008186749104358985,1.0,1.0
94,0.003,0.009990980005910814,0.008103329630979383,1.0,1.0
95,0.003,0.00989740425451291,0.008025657621808138,1.0,1.0
96,0.003,0.009805714607291603,0.007953741309095588,1.0,1.0
97,0.003,0.009715872181372504,0.007886182624376948,1.0,1.0
98,0.003,0.009627591933031641,0.007807001187342634,1.0,1.0
99,0.003,0.009541020256614555,0.007729671792060364,1.0,1.0
100,0.003,0.00945610634648513,0.007659826761080238,1.0,1.0
