fpr,tpr,threshold,auc
0.0,0.0,inf,0.9087301587301587
0.0,0.08333333333333333,0.4295182,0.9087301587301587
0.0,0.5,0.2987685,0.9087301587301587
0.047619047619047616,0.5,0.29241943,0.9087301587301587
0.047619047619047616,0.5833333333333334,0.29138875,0.9087301587301587
0.09523809523809523,0.5833333333333334,0.2895182,0.9087301587301587
0.09523809523809523,0.6666666666666666,0.28750607,0.9087301587301587
0.19047619047619047,0.6666666666666666,0.28016454,0.9087301587301587
0.19047619047619047,0.8333333333333334,0.27636862,0.9087301587301587
0.2857142857142857,0.8333333333333334,0.27545056,0.9087301587301587
0.2857142857142857,1.0,0.27144602,0.9087301587301587
1.0,1.0,0.102378525,0.9087301587301587
