fpr,tpr,threshold,auc
0.0,0.0,inf,0.4126984126984127
0.0,0.16666666666666666,0.417483,0.4126984126984127
0.0,0.3333333333333333,0.3826535,0.4126984126984127
0.7619047619047619,0.3333333333333333,0.27923253,0.4126984126984127
0.7619047619047619,0.5,0.2786591,0.4126984126984127
0.8095238095238095,0.5,0.27306086,0.4126984126984127
0.8095238095238095,0.6666666666666666,0.26929,0.4126984126984127
0.9523809523809523,0.6666666666666666,0.24911027,0.4126984126984127
0.9523809523809523,0.8333333333333334,0.22619222,0.4126984126984127
1.0,0.8333333333333334,0.22612473,0.4126984126984127
1.0,1.0,0.17465135,0.4126984126984127
