fpr,tpr,threshold,auc
0.0,0.0,inf,0.8888888888888888
0.0,0.08333333333333333,0.5270251,0.8888888888888888
0.0,0.6666666666666666,0.3221578,0.8888888888888888
0.047619047619047616,0.6666666666666666,0.2802976,0.8888888888888888
0.047619047619047616,0.75,0.26429275,0.8888888888888888
0.09523809523809523,0.75,0.25991628,0.8888888888888888
0.09523809523809523,0.8333333333333334,0.25788748,0.8888888888888888
0.38095238095238093,0.8333333333333334,0.2344532,0.8888888888888888
0.38095238095238093,0.9166666666666666,0.23439032,0.8888888888888888
0.8095238095238095,0.9166666666666666,0.18854518,0.8888888888888888
0.8095238095238095,1.0,0.18099798,0.8888888888888888
1.0,1.0,0.12959875,0.8888888888888888
