fpr,tpr,threshold,auc
0.0,0.0,inf,0.4365079365079365
0.0,0.08333333333333333,0.50574464,0.4365079365079365
0.0,0.3333333333333333,0.35556713,0.4365079365079365
0.3333333333333333,0.3333333333333333,0.30041552,0.4365079365079365
0.3333333333333333,0.4166666666666667,0.29789826,0.4365079365079365
0.6190476190476191,0.4166666666666667,0.27854633,0.4365079365079365
0.6190476190476191,0.5,0.27575743,0.4365079365079365
0.9523809523809523,0.5,0.24311796,0.4365079365079365
0.9523809523809523,0.8333333333333334,0.20454049,0.4365079365079365
1.0,0.8333333333333334,0.18761297,0.4365079365079365
1.0,1.0,0.1492367,0.4365079365079365
