fpr,tpr,threshold,auc
0.0,0.0,inf,0.6666666666666667
0.0,0.08333333333333333,0.62074757,0.6666666666666667
0.0,0.5,0.41393116,0.6666666666666667
0.047619047619047616,0.5,0.31868556,0.6666666666666667
0.047619047619047616,0.5833333333333334,0.31666282,0.6666666666666667
0.2857142857142857,0.5833333333333334,0.29130426,0.6666666666666667
0.2857142857142857,0.6666666666666666,0.2894332,0.6666666666666667
0.8571428571428571,0.6666666666666666,0.15661566,0.6666666666666667
0.8571428571428571,0.8333333333333334,0.10642396,0.6666666666666667
0.9523809523809523,0.8333333333333334,0.041861683,0.6666666666666667
0.9523809523809523,0.9166666666666666,0.026160227,0.6666666666666667
1.0,0.9166666666666666,0.025114236,0.6666666666666667
1.0,1.0,0.020483296,0.6666666666666667
