fpr,tpr,threshold,auc
0.0,0.0,inf,0.4880952380952381
0.0,0.08333333333333333,0.34824678,0.4880952380952381
0.14285714285714285,0.08333333333333333,0.30006826,0.4880952380952381
0.14285714285714285,0.16666666666666666,0.29156992,0.4880952380952381
0.38095238095238093,0.16666666666666666,0.26456413,0.4880952380952381
0.38095238095238093,0.25,0.25968066,0.4880952380952381
0.47619047619047616,0.25,0.2561712,0.4880952380952381
0.47619047619047616,0.3333333333333333,0.25418445,0.4880952380952381
0.5238095238095238,0.3333333333333333,0.24943545,0.4880952380952381
0.5238095238095238,0.5,0.24614169,0.4880952380952381
0.5714285714285714,0.5,0.24179476,0.4880952380952381
0.5714285714285714,0.5833333333333334,0.23891425,0.4880952380952381
0.6666666666666666,0.5833333333333334,0.238309,0.4880952380952381
0.6666666666666666,0.6666666666666666,0.23589383,0.4880952380952381
0.7142857142857143,0.6666666666666666,0.23411974,0.4880952380952381
0.7142857142857143,1.0,0.20614202,0.4880952380952381
1.0,1.0,0.14774534,0.4880952380952381
