fpr,tpr,threshold,auc
0.0,0.0,inf,0.7539682539682541
0.0,0.08333333333333333,0.4538076,0.7539682539682541
0.0,0.6666666666666666,0.3495525,0.7539682539682541
0.09523809523809523,0.6666666666666666,0.33593974,0.7539682539682541
0.09523809523809523,0.75,0.32578838,0.7539682539682541
0.9047619047619048,0.75,0.24306214,0.7539682539682541
0.9047619047619048,0.8333333333333334,0.23955436,0.7539682539682541
0.9523809523809523,0.8333333333333334,0.22629488,0.7539682539682541
0.9523809523809523,0.9166666666666666,0.18978222,0.7539682539682541
1.0,0.9166666666666666,0.1671109,0.7539682539682541
1.0,1.0,0.08327832,0.7539682539682541
